segment_id,COMET,chrF++,BLEU,is_bad_source,src_length,length_group_2,length_group_3
0,0.9766541123390198,100.0,100.00000000000004,True,3,short,short
1,0.5533185005187988,18.80839107946197,0.0,False,9,short,short
2,0.4743578135967254,30.108596640814945,10.25857336561027,False,29,short,medium
3,0.4477458298206329,31.138747809065293,20.611280971237512,False,66,long,long
4,0.5002444982528687,9.626706447683253,0.2421465912000778,False,126,long,long
5,0.674522340297699,53.67470257613899,26.46015952359329,False,16,short,medium
6,0.6642142534255981,21.759643346852975,0.0,False,9,short,short
7,0.3477580845355987,13.774235820042216,2.445593937240363,False,107,long,long
8,0.3450067341327667,13.7750826618144,0.0,False,88,long,long
9,0.2864208519458771,9.243686844423706,0.0,False,77,long,long
10,0.487339049577713,36.71477407258929,19.8733048891769,False,28,short,medium
11,0.6251507997512817,0.0,0.0,False,6,short,short
12,0.283345490694046,5.955513568713398,0.0,False,31,short,medium
13,0.5540958046913147,27.236035413019717,10.122592925934278,False,46,long,long
14,0.3940562903881073,13.361674182473104,0.0,False,59,long,long
15,0.2856853008270263,12.661486635980616,0.0,False,88,long,long
16,0.2719278335571289,11.368594415404567,0.0,False,54,long,long
17,0.3318297564983368,15.140956010609257,4.573913556123801,False,60,long,long
18,0.3447267115116119,10.184277628131886,0.0,False,64,long,long
19,0.4732482731342315,18.482321523585796,0.0,False,8,short,short
20,0.3753480613231659,6.040675245921577,0.0,False,9,short,short
21,0.3579867482185364,1.734143850918339,0.5974325730225896,False,93,long,long
22,0.4051755368709564,11.992204287095976,0.0,False,79,long,long
23,0.3265907168388366,11.13379549786616,0.2130426826141638,False,116,long,long
24,0.4656554162502289,2.7884545300484964,0.552528355089081,False,70,long,long
25,0.3411731719970703,16.325923774243183,3.2022396228864443,False,124,long,long
26,0.6403637528419495,0.0,0.0,False,8,short,short
27,0.3536004722118377,12.16067358264863,0.0,False,43,long,long
28,0.3243498504161834,10.296844425001437,0.0,False,43,long,long
29,0.3221260607242584,8.031084881744597,0.0,False,38,long,long
30,0.2733862102031708,7.905763336971902,0.0,False,43,long,long
31,0.4609913527965545,17.210786780321186,4.80771397503766,False,75,long,long
32,0.318636029958725,11.242060757834372,0.0,False,53,long,long
33,0.3353982865810394,19.01559172307796,9.706129029728686,False,53,long,long
34,0.3508810698986053,12.556727936960955,0.0,False,48,long,long
35,0.501460075378418,12.626885528437368,0.0,False,48,long,long
36,0.3651129305362701,14.988918274413852,3.7954847898457063,False,51,long,long
37,0.3907982409000397,18.18690263636763,3.770871928326121,False,50,long,long
38,0.5805336833000183,0.0,0.0,False,52,long,long
39,0.3040142059326172,8.080913183065034,0.0,False,10,short,short
40,0.3308062255382538,15.96256572700614,4.612050409721405,False,73,long,long
41,0.3522948920726776,11.379232134181157,4.4564923172994486e-05,False,152,long,long
42,0.2390021681785583,8.249978449405683,0.0,False,96,long,long
43,0.381661981344223,0.0,0.0,False,8,short,short
44,0.3333936035633087,12.950577184966956,0.0,False,42,long,long
45,0.3858071565628052,17.233435867194565,2.252278368576829,False,59,long,long
46,0.2572692930698395,7.499687213323307,0.0,False,78,long,long
47,0.3677561581134796,19.732865830126674,2.0315766105349127,False,72,long,long
48,0.4906858503818512,31.681673360499612,22.99110449583895,False,37,long,medium
49,0.3801980316638946,26.869061623422414,8.054496384843702,False,43,long,long
50,0.6037637591362,4.477185818602522,2.002152301552759,False,37,long,medium
51,0.407036542892456,9.212821501256837,0.0,False,67,long,long
52,0.2490929067134857,7.24852822653754,0.0,False,73,long,long
53,0.1658640503883361,1.3048357026854267,0.0,False,56,long,long
54,0.4021905660629272,9.367522548981364,0.0,False,49,long,long
55,0.2870962917804718,11.467854411716958,0.0,False,80,long,long
56,0.415007084608078,16.9009560718289,2.2264302107975387,False,59,long,long
57,0.4843429625034332,8.308466581070888,0.0,False,10,short,short
58,0.3485487401485443,16.358272851162663,0.0,False,32,short,medium
59,0.4696932733058929,19.192093341596276,3.701773936489291,False,29,short,medium
60,0.3480719923973083,11.261405245922749,0.0,False,48,long,long
61,0.4333264529705047,23.82725810816102,0.3368973499542733,False,29,short,medium
62,0.343533307313919,14.021649373637564,3.7968017775955714,False,73,long,long
63,0.3558855354785919,20.262657107265607,3.0297048914466935,False,49,long,long
64,0.3806937634944916,16.012702896784745,0.0,False,35,long,medium
65,0.2736750543117523,12.957144528235828,0.0,False,71,long,long
66,0.6525523066520691,5.893547286302714,27.516060407455225,False,7,short,short
67,0.5093618035316467,30.19399164045583,15.071676257541071,False,40,long,long
68,0.3355656266212463,12.231029679754776,0.0,False,70,long,long
