segment_id,COMET,chrF++,BLEU,is_bad_source,src_length,length_group_2,length_group_3
0,0.8480134606361389,41.72635750066679,21.326566840381275,True,3,short,short
1,0.5530194640159607,12.055200050912216,2.7321116481247696,False,9,short,short
2,0.5429290533065796,26.55460376649367,7.727691704314195,False,29,short,medium
3,0.6482827067375183,29.968567241453425,6.64246624163661,False,66,long,long
4,0.6068789958953857,17.435111177313814,1.0134041022635674,False,126,long,long
5,0.8415068984031677,51.83092434046256,33.179134500875875,False,16,short,medium
6,0.5270795226097107,6.803723985941184,4.196114906296549,False,9,short,short
7,0.2887731194496155,8.769508819628776,0.7802298258445406,False,107,long,long
8,0.5575354695320129,15.106730930375964,0.5848843924137813,False,88,long,long
9,0.3798074126243591,23.752445129825897,1.369934426713461,False,77,long,long
10,0.7366371154785156,32.42385854717264,20.56188572728757,False,28,short,medium
11,0.6681506633758545,7.530498385820185,0.0,False,6,short,short
12,0.3419598639011383,19.312976004035768,1.9025914076899575,False,31,short,medium
13,0.7035106420516968,13.883804619231388,1.488603753237641,False,46,long,long
14,0.3499821424484253,16.460941988443007,0.5780080081374666,False,59,long,long
15,0.5152068734169006,12.73926488079275,1.0406547293585933,False,88,long,long
16,0.371809184551239,21.146157942349376,1.363898813603704,False,54,long,long
17,0.5869122743606567,14.387606756012955,1.1034746792705985,False,60,long,long
18,0.240002766251564,8.748281799084424,0.0,False,64,long,long
19,0.8401167392730713,9.82913433880589,4.767707020457095,False,8,short,short
20,0.281322032213211,7.747489730093336,0.5881113610200113,False,9,short,short
21,0.5601434707641602,15.1717441778711,1.100596961606034,False,93,long,long
22,0.6044114232063293,15.97086068986903,1.8697106298164765,False,79,long,long
23,0.2696947157382965,12.59315673904492,0.525923432263065,False,116,long,long
24,0.4753443300724029,14.78702721869304,0.8140544290956655,False,70,long,long
25,0.5833414196968079,20.84771845202456,3.21971671356855,False,124,long,long
26,0.5785114765167236,9.803527619765346,0.0,False,8,short,short
27,0.1616349071264267,7.216689018996012,0.0,False,43,long,long
28,0.3184970021247864,13.294271243445635,0.6911661521824561,False,43,long,long
29,0.3245960175991058,18.56328043538476,1.2435106431164566,False,38,long,long
30,0.4163202941417694,26.129671089168276,0.9285797996506636,False,43,long,long
31,0.5349387526512146,15.449359215168249,1.665024492048781,False,75,long,long
32,0.3585202991962433,20.142796895245468,1.2758650212843743,False,53,long,long
33,0.6580377221107483,26.14326542991765,10.572980734816882,False,53,long,long
34,0.2925871908664703,17.43428976991577,1.1507977006378023,False,48,long,long
35,0.4181247353553772,19.47323686772891,1.6654097806299406,False,48,long,long
36,0.5820680260658264,13.919856713324805,0.9359100614362484,False,51,long,long
37,0.5907899141311646,17.8235938744565,2.5963742211370637,False,50,long,long
38,0.3084042072296142,14.9155568801177,0.5245232563907102,False,52,long,long
39,0.4634549021720886,14.094123404798642,5.522397783539471,False,10,short,short
40,0.6323958039283752,16.00006823328562,2.317817320280623,False,73,long,long
41,0.3488620221614837,11.772025420123605,0.6515984786316327,False,152,long,long
42,0.6046152114868164,18.573961324338597,4.6730362478227985,False,96,long,long
43,0.5696993470191956,14.144103214974324,0.0,False,8,short,short
44,0.2821875214576721,11.669095172541398,0.4447652331523465,False,42,long,long
45,0.3024565279483795,13.99912541378038,0.5025442905774142,False,59,long,long
46,0.6045021414756775,16.540928594205983,1.1711739518264248,False,78,long,long
47,0.2874541878700256,13.539238216641458,0.6548987028849833,False,72,long,long
48,0.6255921125411987,27.032753392516582,9.398684880654027,False,37,long,medium
49,0.589170515537262,23.574492348692544,3.679288975307387,False,43,long,long
50,0.628950834274292,25.82681332368764,4.949727050808081,False,37,long,medium
51,0.6282268166542053,18.625830149582367,0.8340399569526746,False,67,long,long
52,0.212722048163414,9.027032971766497,0.4184430101881885,False,73,long,long
53,0.223474845290184,13.052921191596866,1.1014039432205798,False,56,long,long
54,0.3253799974918365,18.46920923851912,1.1654486075443906,False,49,long,long
55,0.5609078407287598,14.803852134385586,0.6022210197881273,False,80,long,long
56,0.3781258761882782,20.86710592947073,1.5283677530213249,False,59,long,long
57,0.2540939152240753,7.437992844529928,0.0,False,10,short,short
58,0.5307742953300476,14.79249018396481,1.014104533579685,False,32,short,medium
59,0.6147405505180359,19.269994159372004,1.6182702284990558,False,29,short,medium
60,0.2701726257801056,8.148244989392994,0.5076469172229491,False,48,long,long
61,0.630439817905426,18.875338154870693,5.013296303310425,False,29,short,medium
62,0.1949745416641235,8.936406040203641,0.4281030751966225,False,73,long,long
63,0.3277239501476288,12.290185913733984,0.5855869759132124,False,49,long,long
64,0.6178078651428223,16.36502841296833,2.733590008405116,False,35,long,medium
65,0.3130009174346924,15.043575076225146,0.593466896014511,False,71,long,long
66,0.2828932702541351,5.055826214784684,0.3553524757138724,False,7,short,short
67,0.5894085168838501,21.03051486987122,4.981155467975115,False,40,long,long
68,0.3295642733573913,15.634314898155596,0.7959475739806149,False,70,long,long
69,0.5792571306228638,28.86659147379505,14.298943578793024,False,16,short,medium
70,0.6945227980613708,9.905175944940629,0.0,False,15,short,medium
71,0.6499512791633606,12.63920286490064,1.1493330194206166,False,39,long,long
72,0.3522093892097473,24.37358243796614,8.363184993299255,False,72,long,long
73,0.3569473028182983,16.89388295206974,0.9370495931998626,False,64,long,long
74,0.2786734402179718,13.600159809809078,1.0525571609979605,False,96,long,long
75,0.3300938904285431,12.756877480477758,0.4392391264102245,False,49,long,long
76,0.3064981698989868,20.902049620385743,2.357085171052703,False,37,long,medium
77,0.6351737380027771,17.60606272990612,1.1711739518264248,False,74,long,long
78,0.7553627490997314,15.710201849599445,2.5197593442434796,False,15,short,medium
79,0.2837623655796051,9.313280929673647,0.3626427063212036,False,15,short,medium
80,0.2579005062580108,12.959111195959766,1.046310698116094,False,54,long,long
81,0.2143599838018417,5.914550234938522,0.537966825073405,False,73,long,long
82,0.2058362066745758,9.515140887069704,0.4926407262249432,False,64,long,long
83,0.408648669719696,23.290133980446033,0.6303479377849355,False,66,long,long
84,0.4336913526058197,15.015232787779087,1.0471589442104283,False,45,long,long
85,0.3636851906776428,16.661878036865886,0.7849795180306601,False,49,long,long
86,0.6604943871498108,16.944646101398046,2.0244462660665508,False,12,short,short
87,0.5790666937828064,16.87404405718078,3.125190763972442,False,12,short,short
88,0.6374120116233826,14.935761580024703,1.2557690800697192,False,26,short,medium
89,0.4675468504428863,18.223542937641614,4.004163512398071,False,68,long,long
90,0.2874775826931,16.377373182173375,0.6383322041916221,False,72,long,long
91,0.6059998273849487,18.22268381631128,2.22486489940829,False,91,long,long
92,0.5568766593933105,12.964729553118437,1.123099644603982,False,34,long,medium
93,0.3576442003250122,17.259574936574648,0.5556668748240253,False,54,long,long
94,0.5621756911277771,9.185769411013949,0.0,False,10,short,short
95,0.640110194683075,13.31319785706475,1.1239503708631486,False,45,long,long
96,0.321111261844635,16.68910736270497,0.5959143402486718,False,136,long,long
97,0.3653952181339264,19.285336433970667,0.5858518567668101,False,66,long,long
98,0.3437460958957672,12.647646464991194,2.5889510042735617,False,76,long,long
99,0.3152021765708923,15.369364528609715,1.0559717178170818,False,17,short,medium
100,0.3473730981349945,13.059486628142212,0.6483516575066912,False,79,long,long
101,0.3618071973323822,14.976816173270157,0.385987702550624,False,149,long,long
102,0.6323398351669312,14.565314135882623,2.1476912089159055,False,14,short,medium
103,0.5890520215034485,16.79750888517648,3.0717490052419594,False,18,short,medium
104,0.649054765701294,12.998764949398296,1.389736936231864,False,32,short,medium
105,0.5641582608222961,16.015191533626215,1.0402057352191374,False,90,long,long
106,0.568964421749115,15.903963282476733,1.790170836942314,False,56,long,long
107,0.6566487550735474,18.41135946411629,1.968854568164,False,70,long,long
108,0.3049239218235016,13.983619671970576,0.6134186545901243,False,92,long,long
109,0.5323581695556641,13.217267088613454,1.0268160753681452,False,37,long,medium
110,0.5471377968788147,19.06060538393888,2.5887906949817663,False,91,long,long
111,0.5511245131492615,14.96582104761586,0.7801714120224617,False,63,long,long
112,0.6925650238990784,18.07430646086841,4.090246193702001,False,16,short,medium
113,0.3656634092330932,10.301327951498202,0.4211097279317589,False,15,short,medium
114,0.2966987788677215,19.2488947309108,3.7877535273106737,False,60,long,long
115,0.321018785238266,16.834024160183446,0.9762477822185028,False,79,long,long
116,0.1793355941772461,6.983020736079664,0.0,False,46,long,long
117,0.6037968993186951,11.899625371057509,0.7607972069498103,False,61,long,long
118,0.2777434289455414,11.531619231183484,0.6336634490065761,False,55,long,long
119,0.6543934941291809,12.369754386553934,0.819876868518354,False,57,long,long
120,0.4150583148002624,12.316279769974352,3.673526562988939,False,10,short,short
121,0.6334617733955383,17.034983169575703,1.101558515022716,False,74,long,long
122,0.4399990737438202,4.087992635840562,1.6771058848336244,False,52,long,long
123,0.3408075869083404,19.45817754140506,0.9320690442239984,False,54,long,long
