segment_id,COMET,chrF++,BLEU,is_bad_source,src_length,length_group_2,length_group_3
0,0.9766541123390198,100.0,100.00000000000004,True,3,short,short
1,0.4197114706039428,0.0,0.0,False,9,short,short
2,0.4199939668178558,4.570446490901698,2.5326605584447868,False,29,short,medium
3,0.2695245444774627,10.8364229496562,0.8932557745620745,False,66,long,long
4,0.2650642693042755,7.2281784666358355,0.1435664794959371,False,126,long,long
5,0.5834980607032776,19.63784905450384,6.600668716798994,False,16,short,medium
6,0.5995344519615173,0.0,0.0,False,9,short,short
7,0.3287456333637237,9.641917012520215,0.2398901143331018,False,107,long,long
8,0.3638323843479156,12.890401960193584,0.3330096555982795,False,88,long,long
9,0.4710521399974823,1.4338528053084656,0.1765297950297835,False,77,long,long
10,0.6284235119819641,10.589092382058556,16.751775986002574,False,28,short,medium
11,0.5460418462753296,0.0,0.0,False,6,short,short
12,0.4308159351348877,20.900590913865777,3.1461240415611567,False,31,short,medium
13,0.5370930433273315,2.1706942818547743,0.9493550749229956,False,46,long,long
14,0.4081754088401794,13.129223941209188,0.635038573475013,False,59,long,long
15,0.3260439932346344,13.758734574752854,0.4769755164763539,False,88,long,long
16,0.2511676847934723,17.764288440201625,3.4125814365705134,False,54,long,long
17,0.3510843217372894,17.621492121544485,2.4739900445097076,False,60,long,long
18,0.2894772589206695,13.332473179743648,0.7453523228750535,False,64,long,long
19,0.6254677176475525,0.0,0.0,False,8,short,short
20,0.3536356985569,29.745064278532197,8.097785064266205,False,9,short,short
21,0.2378405928611755,7.360371228001139,0.137522378760213,False,93,long,long
22,0.1357244253158569,1.2833675564681724,0.0,False,79,long,long
23,0.3547581136226654,13.695248035132154,0.7800910410433749,False,116,long,long
24,0.3767280280590057,13.686300911542956,0.9885234733166068,False,70,long,long
25,0.2193561792373657,8.28929849244327,0.1665147855867117,False,124,long,long
26,0.420404851436615,0.1899696048632218,0.0,False,8,short,short
27,0.3163058459758758,16.699089637298574,1.444655781027436,False,43,long,long
28,0.5232095122337341,0.5216557267946392,0.5515908821323009,False,43,long,long
29,0.5082087516784668,0.8048769614835949,0.9828491248811142,False,38,long,long
30,0.4160787165164947,18.07816867288427,3.1155667169618257,False,43,long,long
31,0.3127203285694122,15.57749066845752,1.4918389727163288,False,75,long,long
