segment_id,COMET,chrF++,BLEU,is_bad_source,src_length,length_group_2,length_group_3
0,0.9766539335250854,100.0,100.00000000000004,True,3,short,short
1,0.9020928740501404,77.60737813594669,40.89601472043678,False,9,short,short
2,0.8432711958885193,64.91491670882914,40.672262043204185,False,29,short,medium
3,0.8600544333457947,58.88612492145548,34.00304792440158,False,66,long,long
4,0.8322849869728088,63.18431610832539,34.412032367862416,False,126,long,long
5,0.9190787076950072,85.10746151930614,62.88584826842568,False,16,short,medium
6,0.8414192795753479,27.41966900187708,3.377156414337854,False,9,short,short
7,0.7993611097335815,43.62295696614559,12.212207245340675,False,107,long,long
8,0.8122605681419373,49.83549059271108,16.4968584360508,False,88,long,long
9,0.8442423343658447,50.98692437169673,20.219431207518525,False,77,long,long
10,0.8725661635398865,50.699911233486574,12.443198534786198,False,28,short,medium
11,0.8923065066337585,45.36280098302182,16.515821590069034,False,6,short,short
12,0.9262924790382384,61.84557887213701,37.662575767752166,False,31,short,medium
13,0.8912058472633362,59.887270954615566,23.270745255724293,False,46,long,long
14,0.8648805022239685,62.638774012396894,35.656857701315715,False,59,long,long
15,0.8620592951774597,55.06323228439908,28.60594758258115,False,88,long,long
16,0.8720540404319763,61.968472963161936,34.26403534850386,False,54,long,long
17,0.8470874428749084,63.33806263171567,31.945356535604372,False,60,long,long
18,0.8603631258010864,57.14711122282512,27.62833195499604,False,64,long,long
19,0.9577375054359436,78.33232437370735,58.16986431974049,False,8,short,short
20,0.8301224708557129,55.965243935343565,35.64026463354184,False,9,short,short
21,0.8435446619987488,56.88997669339131,26.60142034798778,False,93,long,long
22,0.8361219763755798,67.59364747771161,38.44730536773526,False,79,long,long
23,0.84464031457901,55.15811040664643,18.960224227556136,False,116,long,long
24,0.836416482925415,55.45224044919741,19.561527160084037,False,70,long,long
25,0.8282751441001892,62.40481366746656,30.89188457539553,False,124,long,long
26,0.7508540749549866,25.063273412602623,5.669791110976001,False,8,short,short
27,0.8400393128395081,47.580978067855646,9.034307593806464,False,43,long,long
28,0.7913693785667419,49.0546242896751,18.849754383776855,False,43,long,long
29,0.8286986947059631,59.56306604775662,12.971655920613893,False,38,long,long
30,0.8320237994194031,54.97969669181709,37.57117195011595,False,43,long,long
31,0.7977347373962402,53.982477018064166,29.039701527445725,False,75,long,long
32,0.850178062915802,51.70633315426437,22.0422965342407,False,53,long,long
33,0.8761736750602722,67.55147031797345,41.507178961185055,False,53,long,long
34,0.8073067665100098,52.051558360731256,15.91256934125168,False,48,long,long
35,0.8826466798782349,60.89451163168723,39.2725748631405,False,48,long,long
36,0.8785067796707153,66.43438289061042,43.72751092957603,False,51,long,long
37,0.8646354079246521,59.00976488248833,28.39412982691667,False,50,long,long
38,0.7670636773109436,51.29019089307344,24.37052040010125,False,52,long,long
39,0.8529394865036011,51.39352833849474,11.04479556707894,False,10,short,short
40,0.8765447735786438,70.4664197833862,49.79994833954365,False,73,long,long
41,0.8571256399154663,51.30601538157495,24.738667987097653,False,152,long,long
42,0.8304216265678406,50.22023951761998,20.06665123559704,False,96,long,long
43,0.7582986950874329,23.56870013874202,0.0,False,8,short,short
44,0.8143138885498047,46.490548169895526,17.15660442030757,False,42,long,long
45,0.7675874829292297,56.856457964853504,31.89353522895646,False,59,long,long
46,0.712078332901001,44.90457020689392,17.406849903417772,False,78,long,long
47,0.768439769744873,50.267259059531455,21.76749084815251,False,72,long,long
48,0.7186535000801086,51.438335783880106,28.07875804070239,False,37,long,medium
49,0.7893950343132019,50.71805377992752,15.413399460826158,False,43,long,long
50,0.8418316841125488,54.99533016810546,28.138739936556824,False,37,long,medium
51,0.8170585036277771,51.47757559132453,21.885949736908497,False,67,long,long
52,0.7998532652854919,54.88025693777829,23.235815063914504,False,73,long,long
53,0.8414066433906555,53.35938819968682,19.93657475687947,False,56,long,long
